segmento,pais,produto,faixa_desconto,data,ano,numero_mes,nome_mes,trimestre,unidades_vendidas,preco_fabricacao,preco_venda,vendas_brutas,descontos,vendas_liquidas,custo_mercadoria_vendida,lucro,margem_lucro,percentual_desconto,data_processamento,lucro_zscore,transacao_suspeita,lucro_medio_pais,lucro_relativo_pais,dia_da_semana
ENTERPRISE,UNITED STATES OF AMERICA,CARRETERA,LOW,2013-09-01,2013,9,SEPTEMBER,3,330.0,3,125,41250.0,412.5,40837.5,39600.0,1237.5,3.03,1.0,2025-11-07 21:38:37.145146,-0.8731672543211093,False,9975.668039215687,0.12405184245658755,Domingo
CHANNEL PARTNERS,FRANCE,CARRETERA,LOW,2014-09-01,2014,9,SEPTEMBER,3,2671.0,3,12,32052.0,320.52,31731.48,8013.0,23718.48,74.75,1.0,2025-11-07 21:38:37.145146,1.6428530455356372,False,9547.830817307693,2.4841747255308153,Segunda-feira
CHANNEL PARTNERS,GERMANY,CARRETERA,LOW,2013-10-01,2013,10,OCTOBER,4,766.0,3,12,9192.0,91.92,9100.08,2298.0,6802.08,74.75,1.0,2025-11-07 21:38:37.145146,-0.25039207992137874,False,8134.500666666666,0.836201296027103,Terça-feira
SMALL BUSINESS,MEXICO,CARRETERA,LOW,2013-10-01,2013,10,OCTOBER,4,494.0,3,300,148200.0,1482.0,146718.0,123500.0,23218.0,15.82,1.0,2025-11-07 21:38:37.145146,1.5868404589103076,False,7735.317946428571,3.001557293546007,Terça-feira
MIDMARKET,MEXICO,MONTANA,LOW,2014-03-01,2014,3,MARCH,1,2214.0,5,15,33210.0,332.1,32877.9,22140.0,10737.9,32.66,1.0,2025-11-07 21:38:37.145146,0.19009596893512923,False,7735.317946428571,1.3881653054685015,Sábado
GOVERNMENT,FRANCE,MONTANA,LOW,2014-07-01,2014,7,JULY,3,1375.5,5,20,27510.0,275.1,27234.9,13755.0,13479.899999999998,49.49,1.0,2025-11-07 21:38:37.145146,0.49697439070353944,False,9547.830817307693,1.4118285354998648,Terça-feira
GOVERNMENT,CANADA,MONTANA,LOW,2014-08-01,2014,8,AUGUST,3,1830.0,5,7,12810.0,128.1,12681.9,9150.0,3531.9,27.85,1.0,2025-11-07 21:38:37.145146,-0.6163832094978268,False,9948.008970588236,0.3550358680256754,Sexta-feira
ENTERPRISE,UNITED STATES OF AMERICA,MONTANA,LOW,2013-10-01,2013,10,OCTOBER,4,663.0,5,125,82875.0,828.75,82046.25,79560.0,2486.25,3.03,1.0,2025-11-07 21:38:37.145146,-0.7334099862017429,False,9975.668039215687,0.2492314289355077,Terça-feira
MIDMARKET,UNITED STATES OF AMERICA,PASEO,LOW,2014-02-01,2014,2,FEBRUARY,1,1514.0,10,15,22710.0,227.1,22482.9,15140.0,7342.9000000000015,32.66,1.0,2025-11-07 21:38:37.145146,-0.18986473197798262,False,9975.668039215687,0.7360810294743247,Sábado
ENTERPRISE,UNITED STATES OF AMERICA,PASEO,LOW,2014-06-01,2014,6,JUNE,2,727.0,10,125,90875.0,908.75,89966.25,87240.0,2726.25,3.03,1.0,2025-11-07 21:38:37.145146,-0.70654973046709,False,9975.668039215687,0.27328996807860345,Domingo
ENTERPRISE,FRANCE,PASEO,LOW,2014-06-01,2014,6,JUNE,2,787.0,10,125,98375.0,983.75,97391.25,94440.0,2951.25,3.03,1.0,2025-11-07 21:38:37.145146,-0.6813682407158528,False,9547.830817307693,0.30910162281574616,Domingo
ENTERPRISE,MEXICO,PASEO,LOW,2014-07-01,2014,7,JULY,3,1823.0,10,125,227875.0,2278.75,225596.25,218760.0,6836.25,3.03,1.0,2025-11-07 21:38:37.145146,-0.24656785101115752,False,7735.317946428571,0.8837710417780985,Terça-feira
MIDMARKET,GERMANY,PASEO,LOW,2014-09-01,2014,9,SEPTEMBER,3,747.0,10,15,11205.0,112.05,11092.95,7470.0,3622.9500000000007,32.66,1.0,2025-11-07 21:38:37.145146,-0.6061930999784927,False,8134.500666666666,0.4453807490416746,Segunda-feira
CHANNEL PARTNERS,GERMANY,PASEO,LOW,2013-10-01,2013,10,OCTOBER,4,766.0,10,12,9192.0,91.92,9100.08,2298.0,6802.08,74.75,1.0,2025-11-07 21:38:37.145146,-0.25039207992137874,False,8134.500666666666,0.836201296027103,Terça-feira
GOVERNMENT,FRANCE,VELO,LOW,2014-04-01,2014,4,APRIL,2,3864.0,120,20,77280.0,772.8000000000001,76507.2,38640.0,37867.2,49.49,1.0,2025-11-07 21:38:37.145146,3.2263457018606347,True,9547.830817307693,3.966052679877483,Terça-feira
GOVERNMENT,MEXICO,VELO,LOW,2014-05-01,2014,5,MAY,2,362.0,120,7,2534.0,25.34,2508.66,1810.0,698.6599999999999,27.85,1.0,2025-11-07 21:38:37.145146,-0.9334730051546943,False,7735.317946428571,0.09032078640317223,Quinta-feira
ENTERPRISE,CANADA,VELO,LOW,2014-08-01,2014,8,AUGUST,3,923.0,120,125,115375.0,1153.75,114221.25,110760.0,3461.25,3.03,1.0,2025-11-07 21:38:37.145146,-0.6242901972797152,False,9948.008970588236,0.347933944393632,Sexta-feira
ENTERPRISE,UNITED STATES OF AMERICA,VELO,LOW,2013-10-01,2013,10,OCTOBER,4,663.0,120,125,82875.0,828.75,82046.25,79560.0,2486.25,3.03,1.0,2025-11-07 21:38:37.145146,-0.7334099862017429,False,9975.668039215687,0.2492314289355077,Terça-feira
GOVERNMENT,CANADA,VELO,LOW,2013-11-01,2013,11,NOVEMBER,4,2092.0,120,7,14644.0,146.44,14497.56,10460.0,4037.56,27.85,1.0,2025-11-07 21:38:37.145146,-0.5597908890195575,False,9948.008970588236,0.40586613984137315,Sexta-feira
GOVERNMENT,GERMANY,VTT,LOW,2014-03-01,2014,3,MARCH,1,263.0,250,7,1841.0,18.41,1822.59,1315.0,507.5899999999999,27.85,1.0,2025-11-07 21:38:37.145146,-0.9548571262514449,False,8134.500666666666,0.062399650673087816,Sábado
ENTERPRISE,UNITED STATES OF AMERICA,VTT,LOW,2014-06-01,2014,6,JUNE,2,727.0,250,125,90875.0,908.75,89966.25,87240.0,2726.25,3.03,1.0,2025-11-07 21:38:37.145146,-0.70654973046709,False,9975.668039215687,0.27328996807860345,Domingo
ENTERPRISE,FRANCE,VTT,LOW,2014-06-01,2014,6,JUNE,2,787.0,250,125,98375.0,983.75,97391.25,94440.0,2951.25,3.03,1.0,2025-11-07 21:38:37.145146,-0.6813682407158528,False,9547.830817307693,0.30910162281574616,Domingo
SMALL BUSINESS,MEXICO,VTT,LOW,2013-10-01,2013,10,OCTOBER,4,494.0,250,300,148200.0,1482.0,146718.0,123500.0,23218.0,15.82,1.0,2025-11-07 21:38:37.145146,1.5868404589103076,False,7735.317946428571,3.001557293546007,Terça-feira
ENTERPRISE,FRANCE,VTT,LOW,2014-11-01,2014,11,NOVEMBER,4,1744.0,250,125,218000.0,2180.0,215820.0,209280.0,6540.0,3.03,1.0,2025-11-07 21:38:37.145146,-0.27972347918361984,False,9547.830817307693,0.6849723382346395,Sábado
CHANNEL PARTNERS,UNITED STATES OF AMERICA,AMARILLA,LOW,2013-09-01,2013,9,SEPTEMBER,3,1989.0,260,12,23868.0,238.68,23629.32,5967.0,17662.32,74.75,1.0,2025-11-07 21:38:37.145146,0.9650613523274036,False,9975.668039215687,1.7705400711578467,Domingo
MIDMARKET,FRANCE,AMARILLA,LOW,2013-11-01,2013,11,NOVEMBER,4,321.0,260,15,4815.0,48.15,4766.85,3210.0,1556.8500000000004,32.66,1.0,2025-11-07 21:38:37.145146,-0.8374263265341866,False,9547.830817307693,0.1630579793242506,Sexta-feira
ENTERPRISE,CANADA,CARRETERA,LOW,2014-04-01,2014,4,APRIL,2,742.5,3,125,92812.5,1856.25,90956.25,89100.0,1856.25,2.04,2.0,2025-11-07 21:38:37.145146,-0.803918157505207,False,9948.008970588236,0.18659512727502475,Terça-feira
CHANNEL PARTNERS,CANADA,CARRETERA,LOW,2014-10-01,2014,10,OCTOBER,4,1295.0,3,12,15540.0,310.8,15229.2,3885.0,11344.2,74.49,2.0,2025-11-07 21:38:37.145146,0.25795168998479645,False,9948.008970588236,1.1403487907519656,Quarta-feira
SMALL BUSINESS,GERMANY,CARRETERA,LOW,2013-10-01,2013,10,OCTOBER,4,214.0,3,300,64200.0,1284.0,62916.0,53500.0,9416.0,14.97,2.0,2025-11-07 21:38:37.145146,0.04215191870330517,False,8134.500666666666,1.1575387827533934,Terça-feira
GOVERNMENT,FRANCE,CARRETERA,LOW,2013-11-01,2013,11,NOVEMBER,4,2145.0,3,7,15015.0,300.3,14714.7,10725.0,3989.7000000000007,27.11,2.0,2025-11-07 21:38:37.145146,-0.565147271683976,False,9547.830817307693,0.4178645470725905,Sexta-feira
CHANNEL PARTNERS,UNITED STATES OF AMERICA,MONTANA,LOW,2014-06-01,2014,6,JUNE,2,1142.0,5,12,13704.0,274.08,13429.92,3426.0,10003.92,74.49,2.0,2025-11-07 21:38:37.145146,0.10795059183462678,False,9975.668039215687,1.002832087101661,Domingo
GOVERNMENT,UNITED STATES OF AMERICA,MONTANA,LOW,2014-10-01,2014,10,OCTOBER,4,1566.0,5,20,31320.0,626.4,30693.6,15660.0,15033.6,48.98,2.0,2025-11-07 21:38:37.145146,0.6708609712657495,False,9975.668039215687,1.5070268919235188,Quarta-feira
CHANNEL PARTNERS,MEXICO,MONTANA,LOW,2014-11-01,2014,11,NOVEMBER,4,690.0,5,12,8280.0,165.6,8114.4,2070.0,6044.4,74.49,2.0,2025-11-07 21:38:37.145146,-0.33518990727567827,False,7735.317946428571,0.7814029160612234,Sábado
ENTERPRISE,MEXICO,MONTANA,LOW,2013-11-01,2013,11,NOVEMBER,4,1660.0,5,125,207500.0,4150.0,203350.0,199200.0,4150.0,2.04,2.0,2025-11-07 21:38:37.145146,-0.5472068592078725,False,7735.317946428571,0.536500248437244,Sexta-feira
MIDMARKET,CANADA,PASEO,LOW,2014-02-01,2014,2,FEBRUARY,1,2363.0,10,15,35445.0,708.9,34736.1,23630.0,11106.1,31.97,2.0,2025-11-07 21:38:37.145146,0.2313040779413761,False,9948.008970588236,1.116414353147018,Sábado
CHANNEL PARTNERS,UNITED STATES OF AMERICA,PASEO,LOW,2014-06-01,2014,6,JUNE,2,1142.0,10,12,13704.0,274.08,13429.92,3426.0,10003.92,74.49,2.0,2025-11-07 21:38:37.145146,0.10795059183462678,False,9975.668039215687,1.002832087101661,Domingo
ENTERPRISE,MEXICO,PASEO,LOW,2014-06-01,2014,6,JUNE,2,662.0,10,125,82750.0,1655.0,81095.0,79440.0,1655.0,2.04,2.0,2025-11-07 21:38:37.145146,-0.8264416011160358,False,7735.317946428571,0.21395371353340692,Domingo
CHANNEL PARTNERS,CANADA,PASEO,LOW,2014-10-01,2014,10,OCTOBER,4,1295.0,10,12,15540.0,310.8,15229.2,3885.0,11344.2,74.49,2.0,2025-11-07 21:38:37.145146,0.25795168998479645,False,9948.008970588236,1.1403487907519656,Quarta-feira
ENTERPRISE,GERMANY,PASEO,LOW,2013-10-01,2013,10,OCTOBER,4,809.0,10,125,101125.0,2022.5,99102.5,97080.0,2022.5,2.04,2.0,2025-11-07 21:38:37.145146,-0.7853118345223484,False,8134.500666666666,0.24863234793104697,Terça-feira
ENTERPRISE,MEXICO,PASEO,LOW,2013-10-01,2013,10,OCTOBER,4,2145.0,10,125,268125.0,5362.5,262762.5,257400.0,5362.5,2.04,2.0,2025-11-07 21:38:37.145146,-0.41150660888176105,False,7735.317946428571,0.6932488149987278,Terça-feira
CHANNEL PARTNERS,FRANCE,PASEO,LOW,2013-11-01,2013,11,NOVEMBER,4,1785.0,10,12,21420.0,428.4,20991.6,5355.0,15636.6,74.49,2.0,2025-11-07 21:38:37.145146,0.7383473637990652,False,9547.830817307693,1.6377123033699947,Sexta-feira
MIDMARKET,UNITED STATES OF AMERICA,PASEO,LOW,2013-12-01,2013,12,DECEMBER,4,1925.0,10,15,28875.0,577.5,28297.5,19250.0,9047.5,31.97,2.0,2025-11-07 21:38:37.145146,0.0009102343773900598,False,9975.668039215687,0.9069568037381623,Domingo
GOVERNMENT,UNITED STATES OF AMERICA,PASEO,LOW,2013-12-01,2013,12,DECEMBER,4,2013.0,10,7,14091.0,281.82,13809.18,10065.0,3744.18,27.11,2.0,2025-11-07 21:38:37.145146,-0.5926253133005261,False,9975.668039215687,0.3753312545366513,Domingo
CHANNEL PARTNERS,FRANCE,PASEO,LOW,2014-12-01,2014,12,DECEMBER,4,1055.0,10,12,12660.0,253.2,12406.8,3165.0,9241.8,74.49,2.0,2025-11-07 21:38:37.145146,0.022655849749236127,False,9547.830817307693,0.9679476078741424,Segunda-feira
CHANNEL PARTNERS,MEXICO,PASEO,LOW,2014-12-01,2014,12,DECEMBER,4,1084.0,10,12,13008.0,260.16,12747.84,3252.0,9495.84,74.49,2.0,2025-11-07 21:38:37.145146,0.051087430444366415,False,7735.317946428571,1.227595305812125,Segunda-feira
GOVERNMENT,UNITED STATES OF AMERICA,VELO,LOW,2014-10-01,2014,10,OCTOBER,4,1566.0,120,20,31320.0,626.4,30693.6,15660.0,15033.6,48.98,2.0,2025-11-07 21:38:37.145146,0.6708609712657495,False,9975.668039215687,1.5070268919235188,Quarta-feira
ENTERPRISE,GERMANY,VELO,LOW,2013-10-01,2013,10,OCTOBER,4,809.0,120,125,101125.0,2022.5,99102.5,97080.0,2022.5,2.04,2.0,2025-11-07 21:38:37.145146,-0.7853118345223484,False,8134.500666666666,0.24863234793104697,Terça-feira
ENTERPRISE,MEXICO,VELO,LOW,2013-10-01,2013,10,OCTOBER,4,2145.0,120,125,268125.0,5362.5,262762.5,257400.0,5362.5,2.04,2.0,2025-11-07 21:38:37.145146,-0.41150660888176105,False,7735.317946428571,0.6932488149987278,Terça-feira
